data_type,group,data_set,collect_data,description
interval,generator,Available Capacity,TRUE,Rated Capacity - maintenance - Forced Outage
interval,generator,Capacity Curtailed,TRUE,Amount of Capacity with ) VO&M costs that is not generating.
interval,generator,Curtailment Factor,TRUE,Capacity curtailed but reported as a percentage.
interval,generator,Emissions Cost,FALSE,Emissions costs reported by generator.
interval,generator,Forced Outage,FALSE,Capacity lost to random forced outages.
interval,generator,Fuel Cost,FALSE,Amount paid by each generator for fuel at each timestep.
interval,generator,Fuel Offtake,FALSE,Amount of fuel consumed by generator and timestep.
interval,generator,Generation,TRUE,Output from each generator by timestep
interval,generator,Maintenance,FALSE,This depends on the simulation phase that is used. What simulation phase do we use???
interval,generator,Price Received,FALSE,Default is for generators to receive the weighted-average price at the nodes they are connected to.
interval,generator,Pump Load,FALSE,The amount that a generator charges during a timestep.
interval,generator,Pump Price Paid,FALSE,The price a storage generator pays to charge.
interval,generator,Ramp Down Price,FALSE,The marginal price the system would pay for addition down-ramping capability.
interval,generator,Ramp Up Price,FALSE,The marginal price the system would pay for addition up-ramping capability.
interval,generator,Reserves Revenue,FALSE,Revenue from providing reserves by generator and timestep.
interval,generator,SRMC,FALSE,The marginal cost for a generator to provide an additional MW of power.
interval,generator,Start & Shutdown Cost,FALSE,The amount spent starting and stopping generators by timestep.
year,generator,Total Generation Cost,FALSE,The total cost for operating a generator during each timestep.
interval,generator,Units Generating,FALSE,The fraction at which a generator is operating.
interval,generator,Units Out,FALSE,Number of units on outage.
interval,generator,VO&M Cost,FALSE,The total amount in VO&M paid to generate (VO&M charge x Generation)
interval,generator,Pool Revenue,FALSE,
interval,generator,Net Revenue,FALSE,
interval,constraint,Activity,FALSE,The value of the left-hand side of a constraint.
interval,constraint,Violation,FALSE,The amount of a constraint violation.
interval,constraint,Price,FALSE,
interval,constraint,Hours Binding,FALSE,
interval,emission,Cost,FALSE,"The cost of emissions charged at ""Price"" (if defined, otherwise at ""Shodow Price"""
interval,emission,Production,FALSE,Total emissions production by timestep.
interval,emissions_generators,Production,FALSE,Emissions produced by generator for each timestep. Specify the units outputted by the xml you are using here (e.g. kg or lb); Marmot will do the appropriate conversion to metric tons. 
interval,fuel,Cost,FALSE,Cost of fuel by timestep.
interval,fuel,Offtake,FALSE,Fuel consumed by generator and timestep.
interval,fuel,Price,FALSE,
interval,line,Flow,FALSE,"Flow from ""Node From"" to ""Node To"""
interval,line,Hours Congested,FALSE,Hours when the line is flowing at its max/min
interval,line,Shadow Price,FALSE,The marginal price the system would pay for another MW of transmission capacity.
interval,line,Violation,FALSE,"The amount the constraint is violated by, only possible if a ""Limit Penalty"" has been defined."
interval,region,Exports,FALSE,Total exports from a region
interval,region,Fixed Load,FALSE,Load that is exogenously assigned.
interval,region,Generation,FALSE,Total Generation within a region
interval,region,Imports,FALSE,Total imports to a region
interval,region,Load,TRUE,Total load within a region
interval,region,Price,TRUE,Depends on the load settlement model used. What load settlement model are we using???
interval,region,Unserved Energy,TRUE,Dropped load in a region
interval,region,Dump Energy,FALSE,
interval,reserve,Price,FALSE,Marginal value of providing reserves in that region
interval,reserve,Provision,FALSE,Reserves provided by region and timestep.
interval,reserve,Shortage,FALSE,Rserve shortages by region and timestep.
interval,reserve,Risk,FALSE,
interval,reserves_generators,Provision,FALSE,Rserves provided by generator and timestep
interval,reserves_generators,Revenue,FALSE,Revenue a generator gets from providing reserves
interval,storage,End Volume,FALSE,Storage volume at end of timestep
interval,storage,Generation,FALSE,Generation from storage resources by timestep.
interval,storage,Inflow,FALSE,Natural inflow: applies to CSP-TES
interval,storage,Initial Volume,FALSE,Storage volume at the beginning of each timestep.
interval,storage,Pump Load,FALSE,The amount that a storage resource charges during a timestep.
interval,storage,Spill,FALSE,Natural inflow that cannot be stored.
interval,storage,Release,FALSE,
interval,zone,Generation,FALSE,Total generation in an RTO
interval,zone,Load,FALSE,Total load in an RTO
interval,zone,Price,FALSE,Depends on the load settlement model used. What load settlement model are we using???
interval,zone,Unserved Energy,FALSE,Unserved energy in an RTO
interval,zone,Dump Energy,FALSE,
year,generator,Installed Capacity,FALSE,Nameplate power capacity (Max Capacity x Units)
year,line,Export Limit,FALSE,Transmission capacity
year,line,Import Limit,FALSE,Transmission capacity
interval,region,Net Interchange,FALSE,
interval,zone,Net Interchange,FALSE,
interval,interface,Flow,FALSE,
interval,interface,Shadow Price,FALSE,
interval,interface,Violation,FALSE,
interval,interface,Hours Congested,FALSE,
interval,region_regions,Net Interchange,FALSE,
year,interface,Import Limit,FALSE,
year,interface,Export Limit,FALSE,
year,generator,Hours at Minimum,FALSE,
year,generator,Emissions Cost,FALSE,
year,generator,Fuel Cost,FALSE,
year,generator,Start & Shutdown Cost,FALSE,
year,generator,VO&M Cost,FALSE,
year,interface,Hours Congested,FALSE,
interval,interface,Import Limit,FALSE,
interval,interface,Export Limit,FALSE,
interval,generator,Total Generation Cost,FALSE,
interval,generator,Net Reserves Revenue,FALSE,
interval,generator,Reserves VO&M Cost,FALSE,
interval,emission,Intensity,FALSE,
interval,reserve,Cost,FALSE,
interval,region,Total Generation Cost,FALSE,
interval,zone,Cost to Load,FALSE,
interval,zone,Emissions Cost,FALSE,The total cost for operating a generator during each timestep.
interval,zone,Generator FO&M Cost,FALSE,
interval,zone,Generator Net Profit,FALSE,
interval,zone,Generator Net Revenue,FALSE,
interval,zone,Generator Pool Revenue,FALSE,
interval,zone,Import Revenue,FALSE,
interval,zone,Net Cost of Exports,FALSE,
interval,zone,Settlement Surplus,FALSE,
interval,zone,Total Fixed Costs,FALSE,
interval,zone,Total Generation Cost,FALSE,
interval,node,Price,FALSE,
interval,node,Load,FALSE,
interval,node,Generation,FALSE,
interval,node,Dump Energy,FALSE,
interval,line,Export Limit,FALSE,Transmission capacity
interval,line,Import Limit,FALSE,Transmission capacity
interval,abatement,Abatement,FALSE,
interval,batterie,Generation,FALSE,
interval,batterie,SoC,FALSE,
interval,batterie,Load,FALSE,