data_type,group,data_set,collect_data,description
interval,generator,Available Capacity,TRUE,Rated Capacity - maintenance - Forced Outage
interval,generator,Capacity Curtailed,TRUE,Amount of Capacity with ) VO&M costs that is not generating.
interval,generator,Curtailment Factor,TRUE,Capacity curtailed but reported as a percentage.
interval,generator,Emissions Cost,TRUE,Emissions costs reported by generator.
interval,generator,Forced Outage,TRUE,Capacity lost to random forced outages.
interval,generator,Fuel Cost,TRUE,Amount paid by each generator for fuel at each timestep.
interval,generator,Fuel Offtake,TRUE,Amount of fuel consumed by generator and timestep.
interval,generator,Generation,TRUE,Output from each generator by timestep
interval,generator,Maintenance,TRUE,This depends on the simulation phase that is used. What simulation phase do we use???
interval,generator,Price Received,TRUE,Default is for generators to receive the weighted-average price at the nodes they are connected to.
interval,generator,Pump Load,TRUE,The amount that a generator charges during a timestep.
interval,generator,Pump Price Paid,TRUE,The price a storage generator pays to charge.
interval,generator,Ramp Down Price,TRUE,The marginal price the system would pay for addition down-ramping capability.
interval,generator,Ramp Up Price,TRUE,The marginal price the system would pay for addition up-ramping capability.
interval,generator,Reserves Revenue,TRUE,Revenue from providing reserves by generator and timestep.
interval,generator,SRMC,TRUE,The marginal cost for a generator to provide an additional MW of power.
interval,generator,Start & Shutdown Cost,TRUE,The amount spent starting and stopping generators by timestep.
year,generator,Total Generation Cost,TRUE,The total cost for operating a generator during each timestep.
interval,generator,Units Generating,TRUE,The fraction at which a generator is operating.
interval,generator,Units Out,TRUE,Number of units on outage.
interval,generator,VO&M Cost,TRUE,The total amount in VO&M paid to generate (VO&M charge x Generation)
interval,generator,Pool Revenue,TRUE,
interval,generator,Net Revenue,TRUE,
interval,constraint,Activity,TRUE,The value of the left-hand side of a constraint.
interval,constraint,Violation,TRUE,The amount of a constraint violation.
interval,constraint,Price,TRUE,
interval,constraint,Hours Binding,TRUE,
interval,emission,Cost,TRUE,"The cost of emissions charged at ""Price"" (if defined, otherwise at ""Shodow Price"""
interval,emission,Production,TRUE,Total emissions production by timestep.
interval,emissions_generators,Production,TRUE,Emissions produced by generator for each timestep. Specify the units outputted by the xml you are using here (e.g. kg or lb); Marmot will do the appropriate conversion to metric tons. 
interval,fuel,Cost,TRUE,Cost of fuel by timestep.
interval,fuel,Offtake,TRUE,Fuel consumed by generator and timestep.
interval,fuel,Price,TRUE,
interval,line,Flow,TRUE,"Flow from ""Node From"" to ""Node To"""
interval,line,Hours Congested,TRUE,Hours when the line is flowing at its max/min
interval,line,Shadow Price,TRUE,The marginal price the system would pay for another MW of transmission capacity.
interval,line,Violation,TRUE,"The amount the constraint is violated by, only possible if a ""Limit Penalty"" has been defined."
interval,region,Exports,TRUE,Total exports from a region
interval,region,Fixed Load,TRUE,Load that is exogenously assigned.
interval,region,Generation,TRUE,Total Generation within a region
interval,region,Imports,TRUE,Total imports to a region
interval,region,Load,TRUE,Total load within a region
interval,region,Price,TRUE,Depends on the load settlement model used. What load settlement model are we using???
interval,region,Unserved Energy,TRUE,Dropped load in a region
interval,region,Dump Energy,TRUE,
interval,reserve,Price,TRUE,Marginal value of providing reserves in that region
interval,reserve,Provision,TRUE,Reserves provided by region and timestep.
interval,reserve,Shortage,TRUE,Rserve shortages by region and timestep.
interval,reserve,Risk,TRUE,
interval,reserves_generators,Provision,TRUE,Rserves provided by generator and timestep
interval,reserves_generators,Revenue,TRUE,Revenue a generator gets from providing reserves
interval,storage,End Volume,TRUE,Storage volume at end of timestep
interval,storage,Generation,TRUE,Generation from storage resources by timestep.
interval,storage,Inflow,TRUE,Natural inflow: applies to CSP-TES
interval,storage,Initial Volume,TRUE,Storage volume at the beginning of each timestep.
interval,storage,Pump Load,TRUE,The amount that a storage resource charges during a timestep.
interval,storage,Spill,TRUE,Natural inflow that cannot be stored.
interval,storage,Release,TRUE,
interval,zone,Generation,TRUE,Total generation in an RTO
interval,zone,Load,TRUE,Total load in an RTO
interval,zone,Price,TRUE,Depends on the load settlement model used. What load settlement model are we using???
interval,zone,Unserved Energy,TRUE,Unserved energy in an RTO
interval,zone,Dump Energy,TRUE,
year,generator,Installed Capacity,TRUE,Nameplate power capacity (Max Capacity x Units)
year,line,Export Limit,FALSE,Transmission capacity
year,line,Import Limit,FALSE,Transmission capacity
interval,region,Net Interchange,TRUE,
interval,zone,Net Interchange,TRUE,
interval,interface,Flow,TRUE,
interval,interface,Shadow Price,TRUE,
interval,interface,Violation,TRUE,
interval,interface,Hours Congested,TRUE,
interval,region_regions,Net Interchange,TRUE,
year,interface,Import Limit,FALSE,
year,interface,Export Limit,FALSE,
year,generator,Hours at Minimum,TRUE,
year,generator,Emissions Cost,TRUE,
year,generator,Fuel Cost,TRUE,
year,generator,Start & Shutdown Cost,TRUE,
year,generator,VO&M Cost,TRUE,
year,interface,Hours Congested,TRUE,
interval,interface,Import Limit,TRUE,
interval,interface,Export Limit,TRUE,
interval,generator,Total Generation Cost,TRUE,
interval,generator,Net Reserves Revenue,TRUE,
interval,generator,Reserves VO&M Cost,TRUE,
interval,emission,Intensity,TRUE,
interval,reserve,Cost,TRUE,
interval,region,Total Generation Cost,TRUE,
interval,zone,Cost to Load,TRUE,
interval,zone,Emissions Cost,TRUE,The total cost for operating a generator during each timestep.
interval,zone,Generator FO&M Cost,TRUE,
interval,zone,Generator Net Profit,TRUE,
interval,zone,Generator Net Revenue,TRUE,
interval,zone,Generator Pool Revenue,TRUE,
interval,zone,Import Revenue,TRUE,
interval,zone,Net Cost of Exports,TRUE,
interval,zone,Settlement Surplus,TRUE,
interval,zone,Total Fixed Costs,TRUE,
interval,zone,Total Generation Cost,TRUE,
interval,node,Price,TRUE,
interval,node,Load,TRUE,
interval,node,Generation,TRUE,
interval,node,Dump Energy,TRUE,
interval,line,Export Limit,TRUE,Transmission capacity
interval,line,Import Limit,TRUE,Transmission capacity
interval,abatement,Abatement,TRUE,
