data_type,group,data_set,collect_data,unit_multiplier,Units,description
interval,generator,Available Capacity,TRUE,1,MW,Rated Capacity - maintenance - Forced Outage
interval,generator,Capacity Curtailed,TRUE,1,MW,Amount of Capacity with ) VO&M costs that is not generating.
interval,generator,Curtailment Factor,TRUE,1,%,Capacity curtailed but reported as a percentage.
interval,generator,Emissions Cost,TRUE,1,$,Emissions costs reported by generator.
interval,generator,Forced Outage,TRUE,1,MW,Capacity lost to random forced outages.
interval,generator,Fuel Cost,TRUE,1,$,Amount paid by each generator for fuel at each timestep.
interval,generator,Fuel Offtake,TRUE,1,GJ or MMBTU,Amount of fuel consumed by generator and timestep.
interval,generator,Generation,TRUE,1,MW,Output from each generator by timestep
interval,generator,Maintenance,TRUE,1,MW,This depends on the simulation phase that is used. What simulation phase do we use???
interval,generator,Price Received,TRUE,1,$/MWh,Default is for generators to receive the weighted-average price at the nodes they are connected to.
interval,generator,Pump Load,TRUE,1,MW,The amount that a generator charges during a timestep.
interval,generator,Pump Price Paid,TRUE,1,$/MWh,The price a storage generator pays to charge.
interval,generator,Ramp Down Price,TRUE,1,$/MW,The marginal price the system would pay for addition down-ramping capability.
interval,generator,Ramp Up Price,TRUE,1,$/MW,The marginal price the system would pay for addition up-ramping capability.
interval,generator,Reserves Revenue,TRUE,1,$,Revenue from providing reserves by generator and timestep.
interval,generator,SRMC,TRUE,1,$/MWh,The marginal cost for a generator to provide an additional MW of power.
interval,generator,Start & Shutdown Cost,TRUE,1,$,The amount spent starting and stopping generators by timestep.
year,generator,Total Generation Cost,TRUE,1000,"$1,000 ",The total cost for operating a generator during each timestep.
interval,generator,Units Generating,TRUE,1,Unitless,The fraction at which a generator is operating.
interval,generator,Units Out,TRUE,1,Unitless,Number of units on outage.
interval,generator,VO&M Cost,TRUE,1,$,The total amount in VO&M paid to generate (VO&M charge x Generation)
interval,generator,Pool Revenue,TRUE,1,,
interval,generator,Net Revenue,TRUE,1,,
interval,constraint,Activity,TRUE,1,varies,The value of the left-hand side of a constraint.
interval,constraint,Violation,TRUE,1,varies,The amount of a constraint violation.
interval,constraint,Price,TRUE,1,,
interval,constraint,Hours Binding,TRUE,1,,
interval,emission,Cost,TRUE,1,$,"The cost of emissions charged at ""Price"" (if defined, otherwise at ""Shodow Price"""
interval,emission,Production,TRUE,1,kg,Total emissions production by timestep.
interval,emissions_generators,Production,TRUE,1,kg,Emissions produced by generator for each timestep. Specify the units outputted by the xml you are using here (e.g. kg or lb); Marmot will do the appropriate conversion to metric tons. 
interval,fuel,Cost,TRUE,1,$,Cost of fuel by timestep.
interval,fuel,Offtake,TRUE,1,GJ or MMBTU,Fuel consumed by generator and timestep.
interval,fuel,Price,TRUE,1,,
interval,line,Flow,TRUE,1,MW,"Flow from ""Node From"" to ""Node To"""
interval,line,Hours Congested,TRUE,1,hours,Hours when the line is flowing at its max/min
interval,line,Shadow Price,TRUE,1,$/MW,The marginal price the system would pay for another MW of transmission capacity.
interval,line,Violation,TRUE,1,MW,"The amount the constraint is violated by, only possible if a ""Limit Penalty"" has been defined."
interval,region,Exports,TRUE,1,MW,Total exports from a region
interval,region,Fixed Load,TRUE,1,MW,Load that is exogenously assigned.
interval,region,Generation,TRUE,1,MW,Total Generation within a region
interval,region,Imports,TRUE,1,MW,Total imports to a region
interval,region,Load,TRUE,1,MW,Total load within a region
interval,region,Price,TRUE,1,$/MWh,Depends on the load settlement model used. What load settlement model are we using???
interval,region,Unserved Energy,TRUE,1,MW,Dropped load in a region
interval,region,Dump Energy,TRUE,1,,
interval,reserve,Price,TRUE,1,$/MW,Marginal value of providing reserves in that region
interval,reserve,Provision,TRUE,1,MW,Reserves provided by region and timestep.
interval,reserve,Shortage,TRUE,1,MW,Rserve shortages by region and timestep.
interval,reserve,Risk,TRUE,1,,
interval,reserves_generators,Provision,TRUE,1,MW,Rserves provided by generator and timestep
interval,reserves_generators,Revenue,TRUE,1,$,Revenue a generator gets from providing reserves
interval,storage,End Volume,TRUE,1,GWh,Storage volume at end of timestep
interval,storage,Generation,TRUE,1,MW,Generation from storage resources by timestep.
interval,storage,Inflow,TRUE,1,MW,Natural inflow: applies to CSP-TES
interval,storage,Initial Volume,TRUE,1,GWh,Storage volume at the beginning of each timestep.
interval,storage,Pump Load,TRUE,1,MW,The amount that a storage resource charges during a timestep.
interval,storage,Spill,TRUE,1,MW,Natural inflow that cannot be stored.
interval,storage,Release,TRUE,1,,
interval,zone,Generation,TRUE,1,MW,Total generation in an RTO
interval,zone,Load,TRUE,1,MW,Total load in an RTO
interval,zone,Price,TRUE,1,$/MWh,Depends on the load settlement model used. What load settlement model are we using???
interval,zone,Unserved Energy,TRUE,1,MW,Unserved energy in an RTO
interval,zone,Dump Energy,TRUE,1,,
year,generator,Installed Capacity,TRUE,1,MW,Nameplate power capacity (Max Capacity x Units)
year,line,Export Limit,TRUE,1,MW,Transmission capacity
year,line,Import Limit,TRUE,1,MW,Transmission capacity
interval,region,Net Interchange,TRUE,1,MW,
interval,zone,Net Interchange,TRUE,1,MW,
interval,interface,Flow,TRUE,1,MW,
interval,interface,Shadow Price,TRUE,1,$/MW,
interval,interface,Violation,TRUE,1,MW,
interval,interface,Hours Congested,TRUE,1,hours,
interval,region_regions,Net Interchange,TRUE,1,MW,
year,interface,Import Limit,TRUE,1,MW,
year,interface,Export Limit,TRUE,1,MW,
year,generator,Hours at Minimum,TRUE,1,hours,
year,generator,Emissions Cost,TRUE,1000,$0 ,
year,generator,Fuel Cost,TRUE,1000,$0 ,
year,generator,Start & Shutdown Cost,TRUE,1000,$0 ,
year,generator,VO&M Cost,TRUE,1000,$0 ,
year,interface,Hours Congested,TRUE,1,hours,
interval,interface,Import Limit,TRUE,1,MW,
interval,interface,Export Limit,TRUE,1,MW,
interval,generator,Total Generation Cost,TRUE,1,$,
interval,generator,Net Reserves Revenue,TRUE,1,,
interval,generator,Reserves VO&M Cost,TRUE,1,,
interval,emission,Intensity,TRUE,1,,
interval,reserve,Cost,TRUE,1,,
interval,region,Total Generation Cost,TRUE,1,,
interval,zone,Cost to Load,TRUE,1,,
interval,zone,Emissions Cost,TRUE,1,,The total cost for operating a generator during each timestep.
interval,zone,Generator FO&M Cost,TRUE,1,,
interval,zone,Generator Net Profit,TRUE,1,,
interval,zone,Generator Net Revenue,TRUE,1,,
interval,zone,Generator Pool Revenue,TRUE,1,,
interval,zone,Import Revenue,TRUE,1,,
interval,zone,Net Cost of Exports,TRUE,1,,
interval,zone,Settlement Surplus,TRUE,1,,
interval,zone,Total Fixed Costs,TRUE,1,,
interval,zone,Total Generation Cost,TRUE,1,,
interval,node,Price,TRUE,1,,
interval,node,Load,TRUE,1,,
interval,node,Generation,TRUE,1,,
interval,node,Dump Energy,TRUE,1,,
interval,line,Export Limit,TRUE,1,MW,Transmission capacity
interval,line,Import Limit,TRUE,1,MW,Transmission capacity
interval,abatement,Abatement,TRUE,1,kg,
